# Relative absorption vs depth and time in response to an impulse at
# the scalp at time 0. The impulse covers an 11x11 square mm area of the scalp.
# Stained gray matter (id=28) is at a depth of approximately 29 mm.
# Absorption refers to area totals in a column extending from the illuminated
# area on the scalp through the stained area at approximately 29 mm.
"depth.in.mm","1 ns","2 ns","3 ns","4 ns","5 ns","6 ns","7 ns","8 ns","9 ns","10 ns"
1,0.334690431366405,0.335595254128626,0.335601459195296,0.335601504518646,0.335601504858644,0.335601504861254,0.335601504861274,0.335601504861274,0.335601504861274,0.335601504861274
2,0.276181934271425,0.27743959493661,0.277448311296774,0.277448375012188,0.277448375490757,0.27744837549444,0.277448375494468,0.277448375494468,0.277448375494468,0.277448375494468
3,0.10005616067166,0.101290043643123,0.101298794662013,0.101298858861581,0.101298859345294,0.101298859349038,0.101298859349069,0.10129885934907,0.10129885934907,0.10129885934907
4,0.033897161664668,0.03470029494318,0.0347061425345547,0.0347061856849844,0.034706186012206,0.0347061860147773,0.0347061860148021,0.0347061860148031,0.0347061860148032,0.0347061860148032
5,0.0109903825175408,0.0114267044460447,0.0114300015580473,0.0114300261462759,0.0114300263367874,0.0114300263384167,0.0114300263384466,0.0114300263384512,0.0114300263384525,0.0114300263384529
6,0.00742417744894993,0.00784250983935212,0.00784593026743581,0.00784595719849264,0.00784595742797305,0.00784595743057248,0.00784595743068696,0.00784595743071223,0.0078459574307201,0.0078459574307227
7,0.00127244143067737,0.00139824546804493,0.00139952224090381,0.0013995341558992,0.00139953428648242,0.0013995342888299,0.00139953428901063,0.00139953428905544,0.00139953428906965,0.00139953428907443
8,0.000173233451197256,0.000208612683959651,0.000209177735145882,0.000209185109538751,0.000209185225639695,0.00020918522900237,0.000209185229396442,0.000209185229502507,0.000209185229536473,0.000209185229547925
9,7.56657747347412e-05,0.000101029881048584,0.000101609318738868,0.000101618734028296,0.000101618910179585,0.000101618916449343,0.000101618917318406,0.000101618917560723,0.000101618917638862,0.000101618917665297
10,2.20087070838233e-05,3.48254048245008e-05,3.52642395700075e-05,3.52731280413146e-05,3.52733234599497e-05,3.52733321173736e-05,3.52733335317855e-05,3.52733339398889e-05,3.52733340726284e-05,3.5273334117765e-05
11,5.65956433214557e-06,1.10077971135258e-05,1.12726620317501e-05,1.12791747895911e-05,1.12793403512547e-05,1.12793494819083e-05,1.12793512099011e-05,1.1279351726591e-05,1.1279351897108e-05,1.12793519557016e-05
12,1.33107202086542e-06,3.48429893628095e-06,3.647063133894e-06,3.65222548698687e-06,3.65240337174506e-06,3.65241962733248e-06,3.6524234683223e-06,3.65242465699632e-06,3.65242505204323e-06,3.65242518826538e-06
13,6.73009690947721e-07,2.27339254718968e-06,2.44235745947146e-06,2.44911386924154e-06,2.44942830143982e-06,2.449468475054e-06,2.44947895000595e-06,2.44948224658596e-06,2.44948334771261e-06,2.4494837286771e-06
14,2.0208822271801e-07,9.55549709669151e-07,1.07207227272036e-06,1.07840321275154e-06,1.0788536763332e-06,1.07893319610222e-06,1.07895557500048e-06,1.07896273383099e-06,1.07896514228388e-06,1.07896598010133e-06
15,4.03931414570168e-08,2.74641094524026e-07,3.25847236568035e-07,3.29470455669186e-07,3.29806143931194e-07,3.29874139618522e-07,3.29894001142706e-07,3.29900459254021e-07,3.29902658166942e-07,3.2990343092486e-07
16,9.8765040144337e-09,1.09175088325283e-07,1.43337072443358e-07,1.47084111942805e-07,1.47612328887043e-07,1.47739394665205e-07,1.47777979315289e-07,1.47790689528547e-07,1.47795051608381e-07,1.47796594489145e-07
17,3.85675045063758e-10,6.38557319609818e-09,9.4616135616169e-09,9.98286832566306e-09,1.0084005013361e-08,1.01110924783084e-08,1.01195493158725e-08,1.01223668214739e-08,1.01233410439405e-08,1.01236878283138e-08
18,1.48833225639933e-10,3.56772673920143e-09,5.9706832229526e-09,6.50809843317769e-09,6.62890629693931e-09,6.66255480187534e-09,6.67312738886488e-09,6.67665024526747e-09,6.67786753835114e-09,6.67830075910322e-09
19,6.38592703113172e-11,2.21793810074782e-09,4.19089163912932e-09,4.73006887018319e-09,4.8639429196082e-09,4.90241073383689e-09,4.91460522447444e-09,4.91868290583791e-09,4.92009527681941e-09,4.92059913626268e-09
20,2.7665369434756e-11,1.41731632617984e-09,3.05480166933385e-09,3.59115321374413e-09,3.73685789833172e-09,3.78010375005601e-09,3.79398306183505e-09,3.79865584049513e-09,3.80028288426197e-09,3.80086621309291e-09
21,1.16572849047463e-11,8.88199757302213e-10,2.20307774754029e-09,2.71368950396074e-09,2.86454250831445e-09,2.91073760915524e-09,2.92574938374355e-09,2.93083970426467e-09,2.93262235008058e-09,2.93326506699877e-09
22,4.78889329240537e-12,5.48686625133992e-10,1.58118316126733e-09,2.05297295682278e-09,2.20391388358663e-09,2.25158309252544e-09,2.26727788041945e-09,2.27264201343557e-09,2.27453293558462e-09,2.27521919853705e-09
