# Relative energy density vs depth and time in response to an impulse at
# the scalp at time 0. The impulse covers an 11x11 square mm area of the scalp.
# Stained gray matter (id=28) is at a depth of approximately 29 mm.
# Density refers to area totals in a column extending from the illuminated
# area on the scalp through the stained area at approximately 29 mm.
"depth.in.mm","1 ns","2 ns","3 ns","4 ns","5 ns","6 ns","7 ns","8 ns","9 ns","10 ns"
1,0.000841786151829191,5.63294606672002e-06,4.0908582234208e-08,3.05204291581923e-10,2.32687813685923e-12,1.82896989337731e-14,1.78848610430763e-16,1.03917462138748e-17,2.90606863737462e-18,9.66683179555758e-19
2,0.00177560187838179,1.20731322951191e-05,8.76890760812462e-08,6.55571676867028e-10,5.01787273026408e-12,3.98747053613392e-14,4.36642297611416e-16,3.56843825680578e-17,1.04989855691093e-17,3.50950192907413e-18
3,0.00169170427407102,1.19263108270543e-05,8.69892092905157e-08,6.52339749531377e-10,5.01632413452542e-12,4.06566699094662e-14,5.70585034967956e-16,7.3560765876059e-17,2.27216880309369e-17,7.64113345171197e-18
4,0.000848651625084986,6.27196169048631e-06,4.62882178458575e-08,3.50439742088844e-10,2.72996955169581e-12,2.3384195358123e-14,5.44200994111051e-16,1.07886102148513e-16,3.44201267934347e-17,1.16428956705013e-17
5,0.000371644060285665,2.88758113069465e-06,2.15243215858932e-08,1.65437648679102e-10,1.34911011743198e-12,1.56695426258016e-14,1.16984873935997e-15,3.21204474154394e-16,1.04303528724837e-16,3.53867367319132e-17
6,0.000231003756720376,1.98005911364164e-06,1.54632346519047e-08,1.2842283764803e-10,1.28876061212056e-12,3.25980228296649e-14,5.19466318405656e-15,1.53604431931278e-15,5.02083022553834e-16,1.70861359798871e-16
7,7.62328811653029e-05,8.63790986993333e-07,8.12297064157121e-09,8.7654792417931e-11,1.38585444702669e-12,7.0095850900605e-14,1.42755860531695e-14,4.33320671269539e-15,1.42878567504197e-15,4.89396414096346e-16
8,3.60383624778139e-05,6.6907933908053e-07,8.52161639970036e-09,1.23697756946491e-10,2.72424797324606e-12,1.94962251206188e-13,4.42284968250566e-14,1.36332799682823e-14,4.51568483234814e-15,1.55152808696607e-15
9,2.06757993123327e-05,6.11983067249272e-07,1.00932672506248e-08,1.7841099195332e-10,4.87367664165291e-12,4.51851475535715e-13,1.11437810917013e-13,3.48734371800721e-14,1.16169427646916e-14,4.00815010836345e-15
10,9.70168384065404e-06,4.79435334432132e-07,1.00887449509409e-08,2.09643482971415e-10,6.95464752412241e-12,8.03131133186717e-13,2.1084338745325e-13,6.68375976498804e-14,2.23981787668509e-14,7.7653327176742e-15
11,3.74263474671644e-06,3.04385638797563e-07,8.04399472986629e-09,1.95205143426271e-10,8.09788569546288e-12,1.16496158944836e-12,3.23753653358090e-13,1.0418569850725e-13,3.52172274145289e-14,1.22961741255634e-14
12,1.37226715622704e-06,1.88793791849931e-07,6.4351218500458e-09,1.95099263887367e-10,1.19176356686435e-11,2.24506373935026e-12,6.57658048887678e-13,2.13990453098063e-13,7.27223532905734e-14,2.55039047180971e-14
13,6.69507386176724e-07,1.51523153030428e-07,6.66057956054044e-09,2.60581828484598e-10,2.30543396476817e-11,5.15375021723702e-12,1.5581534067176e-12,5.11258737493335e-13,1.74581379729094e-13,6.14888331903975e-14
14,2.31950229412972e-07,9.22197173415751e-08,5.55478769915749e-09,3.16103453674871e-10,4.19501457488129e-11,1.07026584172772e-11,3.32020213590069e-12,1.09912884906759e-12,3.77520176666553e-13,1.33666226214297e-13
15,6.03290120581968e-08,4.16594971185614e-08,3.46573639048608e-09,2.79071059731495e-10,4.75310313872501e-11,1.29863349458625e-11,4.10697833747738e-12,1.37405006632403e-12,4.75911131949142e-13,1.69762857991413e-13
16,1.88464321638489e-08,2.53059646373636e-08,3.28052055896184e-09,4.04277469433267e-10,8.5627186058475e-11,2.46513198985547e-11,7.91226534339896e-12,2.66801535614091e-12,9.29691504420169e-13,3.33457451124138e-13
17,3.93012555554512e-09,9.02279902921306e-09,1.80734692588239e-09,3.16087686177606e-10,7.68681801549977e-11,2.2842964235122e-11,7.39377619245871e-12,2.50276805406924e-12,8.74708167945172e-13,3.14743658391207e-13
18,1.91189098594943e-09,7.16464786803788e-09,1.92873275276207e-09,4.00792010410284e-10,1.03683136355426e-10,3.13712785046382e-11,1.02298001343704e-11,3.47952704254635e-12,1.2210873367713e-12,4.41137730807804e-13
19,9.21447217005034e-10,5.48772375192914e-09,1.90131820563456e-09,4.5265006247062e-10,1.23173977139189e-10,3.78979907813645e-11,1.24532375611578e-11,4.25796078078346e-12,1.50102036394918e-12,5.44679767127386e-13
20,4.32998471564488e-10,4.06720101627585e-09,1.78415358823277e-09,4.80270423749707e-10,1.36979855037576e-10,4.28517124685843e-11,1.41935296208199e-11,4.88004207579907e-12,1.72882879296906e-12,6.30496188481519e-13
21,1.97436326297558e-10,2.92059490512683e-09,1.6097270072533e-09,4.86523047123404e-10,1.45162183796393e-10,4.61752425284734e-11,1.54221669070153e-11,5.33448259002987e-12,1.90031559112257e-12,6.97075422436648e-13
22,8.73978731269436e-11,2.04449317848158e-09,1.41112582566084e-09,4.76572769542049e-10,1.48581263766474e-10,4.80816343582368e-11,1.62048861741042e-11,5.64347476659169e-12,2.02336569852421e-12,7.47346459544831e-13
23,3.76547450357619e-11,1.40301336879804e-09,1.20788766454417e-09,4.53176325794374e-10,1.47394478634297e-10,4.85437453434582e-11,1.65230985970145e-11,5.79911622823571e-12,2.0949211571964e-12,7.80167531711229e-13
24,1.59730436315452e-11,9.53538353322391e-10,1.01417270353618e-09,4.1916226680509e-10,1.41897799725877e-10,4.75794995717372e-11,1.63720161185487e-11,5.79784361617182e-12,2.11332200481166e-12,7.9485409046641e-13
25,6.74375109563188e-12,6.3765556465839e-10,8.2167099869781e-10,3.70378235199976e-10,1.30293121520555e-10,4.45423176033909e-11,1.55264073409376e-11,5.56004643843064e-12,2.04960216835512e-12,7.80472249762123e-13
26,1.95501776514377e-12,3.12936017149023e-10,5.00123134175602e-10,2.5032544584596e-10,9.29801083166605e-11,3.28222369701291e-11,1.17035031912215e-11,4.26981204894825e-12,1.60077548229676e-12,6.19590764617072e-13
27,4.94731929043609e-13,1.2386271713953e-10,2.44818520255839e-10,1.37121999090309e-10,5.42465266817894e-11,1.99146087214236e-11,7.30462679320608e-12,2.72770584747467e-12,1.04437944044054e-12,4.12486776024745e-13
28,2.98433258450227e-13,7.37539103885612e-11,1.54650775825128e-10,9.08378369409062e-11,3.71079041120482e-11,1.3955107535802e-11,5.23517470705757e-12,2.00416239788659e-12,7.90357754015285e-13,3.23324017163083e-13
29,1.71155534890727e-13,5.34901074585489e-11,1.21257651806957e-10,7.44784080559190e-11,3.13933264408429e-11,1.21438000115532e-11,4.70276082343652e-12,1.87245336598299e-12,7.74946553194405e-13,3.35371846715738e-13
30,7.72002476716495e-14,3.85637787526605e-11,1.05788778050397e-10,7.21101150816012e-11,3.25011143328945e-11,1.32356966948142e-11,5.37151093690148e-12,2.24210003314365e-12,9.74116609532782e-13,4.4248495262785e-13
31,2.90724017704575e-14,2.46737796652822e-11,8.61587558830313e-11,6.75757788308562e-11,3.34017622702104e-11,1.45685244448959e-11,6.26123843549841e-12,2.75095446688502e-12,1.25196453135491e-12,5.92422731787025e-13
32,1.03757878426969e-14,1.54318812315925e-11,7.08346707768709e-11,6.58532935505564e-11,3.65997157317776e-11,1.74231809787878e-11,8.03589525368235e-12,3.74873241562652e-12,1.79584791864765e-12,8.86977018843588e-13
33,3.16123821531663e-15,8.45434304648457e-12,5.24250171424138e-11,5.93337265474561e-11,3.79384868529816e-11,2.00570035077995e-11,1.0041207979284e-11,5.00282328043277e-12,2.52622752085016e-12,1.30015041637094e-12
