"id","tissue","mu_a","mu_s","p_scatter","std_err_scatter"
21,"0.67 umolar",0.0558333333333333,10,0.857812,0.000349242856270533
22,"1 umolar",0.067,10,0.857146,0.000349923898417927
23,"1.3 umolar",0.0781666666666667,10,0.855843,0.000351248856725541
24,"1.7 umolar",0.0893333333333333,10,0.856045,0.000351044096909491
25,"2 umolar",0.1005,10,0.854901,0.000352200624927044
26,"2.3 umolar",0.111666666666667,10,0.853806,0.000353300600571242
27,"2.7 umolar",0.122833333333333,10,0.853592,0.000353514776969789
28,"3 umolar",0.134,10,0.852111,0.000354989920531555
29,"3.3 umolar",0.145166666666667,10,0.851481,0.000355613704233962
30,"3.7 umolar",0.156333333333333,10,0.850976,0.000356112127600283
31,"4 umolar",0.1675,10,0.849793,0.000357274204429875
32,"4.3 umolar",0.178666666666667,10,0.849474,0.000357586245993886
33,"4.7 umolar",0.189833333333333,10,0.848115,0.000358909385186568
34,"5 umolar",0.201,10,0.847251,0.000359745386348456
